instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,is_anomaly,temp_c,atemp_c,hum_pct,windspeed_kmh,season_lbl,weather_lbl,casual_share,registered_share
1,2011-01-01,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,0,14.110847,18.18125,80.58330000000001,10.749882,Spring,Mist,33.60406091370559,66.39593908629442
2,2011-01-02,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,0,14.902598000000001,17.686950000000003,69.6087,16.652113,Spring,Mist,16.354556803995006,83.645443196005
3,2011-01-03,1,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,0,8.050924,9.47025,43.7273,16.636703,Spring,Clear,8.895478131949593,91.1045218680504
4,2011-01-04,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,0,8.200000000000001,10.6061,59.0435,10.739832,Spring,Clear,6.9142125480153656,93.08578745198463
5,2011-01-05,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,0,9.305237,11.4635,43.695699999999995,12.522300000000001,Spring,Clear,5.125,94.875
6,2011-01-06,1,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,0,8.378268,11.66045,51.8261,6.0008684,Spring,Clear,5.47945205479452,94.52054794520548
7,2011-01-07,1,0,1,0,5,1,2,0.196522,0.208839,0.498696,0.168726,148,1362,1510,0,8.057402,10.44195,49.8696,11.304642,Spring,Mist,9.801324503311259,90.19867549668874
8,2011-01-08,1,0,1,0,6,0,2,0.165,0.162254,0.535833,0.266804,68,891,959,0,6.765000000000001,8.1127,53.5833,17.875868,Spring,Mist,7.090719499478623,92.90928050052138
9,2011-01-09,1,0,1,0,0,0,1,0.138333,0.116175,0.434167,0.36195,54,768,822,0,5.671653,5.80875,43.416700000000006,24.25065,Spring,Clear,6.569343065693431,93.43065693430657
10,2011-01-10,1,0,1,0,1,1,1,0.150833,0.150888,0.482917,0.223267,41,1280,1321,0,6.184153,7.5443999999999996,48.2917,14.958889,Spring,Clear,3.1037093111279335,96.89629068887207
11,2011-01-11,1,0,1,0,2,1,2,0.169091,0.191464,0.686364,0.122132,43,1220,1263,0,6.9327309999999995,9.5732,68.6364,8.182844000000001,Spring,Mist,3.4045922406967537,96.59540775930324
12,2011-01-12,1,0,1,0,3,1,1,0.172727,0.160473,0.599545,0.304627,25,1137,1162,0,7.0818069999999995,8.02365,59.954499999999996,20.410009,Spring,Clear,2.1514629948364887,97.84853700516352
13,2011-01-13,1,0,1,0,4,1,1,0.165,0.150883,0.470417,0.301,38,1368,1406,0,6.765000000000001,7.544149999999999,47.0417,20.166999999999998,Spring,Clear,2.7027027027027026,97.2972972972973
14,2011-01-14,1,0,1,0,5,1,1,0.16087,0.188413,0.537826,0.126548,54,1367,1421,0,6.59567,9.42065,53.7826,8.478716,Spring,Clear,3.8001407459535534,96.19985925404644
15,2011-01-15,1,0,1,0,6,0,2,0.233333,0.248112,0.49875,0.157963,222,1026,1248,0,9.566653,12.4056,49.875,10.583521,Spring,Mist,17.78846153846154,82.21153846153845
16,2011-01-16,1,0,1,0,0,0,1,0.231667,0.234217,0.48375,0.188433,251,953,1204,0,9.498347,11.71085,48.375,12.625010999999999,Spring,Clear,20.84717607973422,79.15282392026577
17,2011-01-17,1,0,1,1,1,0,2,0.175833,0.176771,0.5375,0.194017,117,883,1000,0,7.209153,8.838550000000001,53.75,12.999139,Spring,Mist,11.700000000000001,88.3
18,2011-01-18,1,0,1,0,2,1,2,0.216667,0.232333,0.861667,0.146775,9,674,683,0,8.883347,11.61665,86.16669999999999,9.833924999999999,Spring,Mist,1.3177159590043925,98.68228404099561
19,2011-01-19,1,0,1,0,3,1,2,0.292174,0.298422,0.741739,0.208317,78,1572,1650,0,11.979134,14.921100000000001,74.1739,13.957239,Spring,Mist,4.7272727272727275,95.27272727272728
20,2011-01-20,1,0,1,0,4,1,2,0.261667,0.25505,0.538333,0.195904,83,1844,1927,0,10.728347,12.7525,53.833299999999994,13.125568,Spring,Mist,4.307213284898807,95.69278671510119
21,2011-01-21,1,0,1,0,5,1,1,0.1775,0.157833,0.457083,0.353242,75,1468,1543,0,7.2775,7.89165,45.7083,23.667214,Spring,Clear,4.860661049902787,95.13933895009721
22,2011-01-22,1,0,1,0,6,0,1,0.0591304,0.0790696,0.4,0.17197,93,888,981,0,2.4243464,3.9534800000000003,40.0,11.52199,Spring,Clear,9.480122324159021,90.51987767584097
23,2011-01-23,1,0,1,0,0,0,1,0.0965217,0.0988391,0.436522,0.2466,150,836,986,0,3.9573897000000002,4.941955,43.6522,16.5222,Spring,Clear,15.212981744421908,84.78701825557809
24,2011-01-24,1,0,1,0,1,1,1,0.0973913,0.11793,0.491739,0.15833,86,1330,1416,0,3.9930433,5.8965,49.173899999999996,10.60811,Spring,Clear,6.073446327683616,93.92655367231639
25,2011-01-25,1,0,1,0,2,1,2,0.223478,0.234526,0.616957,0.129796,186,1799,1985,0,9.162598000000001,11.7263,61.695699999999995,8.696332,Spring,Mist,9.370277078085643,90.62972292191435
26,2011-01-26,1,0,1,0,3,1,3,0.2175,0.2036,0.8625,0.29385,34,472,506,0,8.9175,10.18,86.25,19.68795,Spring,Light Precip,6.719367588932807,93.2806324110672
27,2011-01-27,1,0,1,0,4,1,1,0.195,0.2197,0.6875,0.113837,15,416,431,0,7.995,10.985,68.75,7.627078999999999,Spring,Clear,3.480278422273782,96.51972157772622
28,2011-01-28,1,0,1,0,5,1,2,0.203478,0.223317,0.793043,0.1233,38,1129,1167,0,8.342597999999999,11.165849999999999,79.30430000000001,8.2611,Spring,Mist,3.2562125107112254,96.74378748928878
29,2011-01-29,1,0,1,0,6,0,1,0.196522,0.212126,0.651739,0.145365,123,975,1098,0,8.057402,10.606300000000001,65.17389999999999,9.739455,Spring,Clear,11.202185792349727,88.79781420765028
30,2011-01-30,1,0,1,0,0,0,1,0.216522,0.250322,0.722174,0.0739826,140,956,1096,0,8.877402,12.5161,72.2174,4.956834199999999,Spring,Clear,12.773722627737227,87.22627737226277
31,2011-01-31,1,0,1,0,1,1,2,0.180833,0.18625,0.60375,0.187192,42,1459,1501,0,7.414153,9.3125,60.375,12.541864,Spring,Mist,2.798134576948701,97.2018654230513
32,2011-02-01,1,0,2,0,2,1,2,0.192174,0.23453,0.829565,0.053213,47,1313,1360,0,7.8791340000000005,11.7265,82.9565,3.565271,Spring,Mist,3.4558823529411766,96.54411764705883
33,2011-02-02,1,0,2,0,3,1,2,0.26,0.254417,0.775417,0.264308,72,1454,1526,0,10.66,12.72085,77.5417,17.708636,Spring,Mist,4.718217562254259,95.28178243774575
34,2011-02-03,1,0,2,0,4,1,1,0.186957,0.177878,0.437826,0.277752,61,1489,1550,0,7.665237,8.8939,43.7826,18.609384,Spring,Clear,3.9354838709677415,96.06451612903226
35,2011-02-04,1,0,2,0,5,1,2,0.211304,0.228587,0.585217,0.127839,88,1620,1708,0,8.663464,11.429350000000001,58.521699999999996,8.565213,Spring,Mist,5.152224824355972,94.84777517564403
36,2011-02-05,1,0,2,0,6,0,2,0.233333,0.243058,0.929167,0.161079,100,905,1005,0,9.566653,12.152899999999999,92.91669999999999,10.792293,Spring,Mist,9.950248756218906,90.04975124378109
37,2011-02-06,1,0,2,0,0,0,1,0.285833,0.291671,0.568333,0.1418,354,1269,1623,0,11.719153,14.58355,56.833299999999994,9.5006,Spring,Clear,21.811460258780038,78.18853974121997
38,2011-02-07,1,0,2,0,1,1,1,0.271667,0.303658,0.738333,0.0454083,120,1592,1712,0,11.138347,15.1829,73.83330000000001,3.0423561,Spring,Clear,7.009345794392523,92.99065420560748
39,2011-02-08,1,0,2,0,2,1,1,0.220833,0.198246,0.537917,0.36195,64,1466,1530,0,9.054153,9.9123,53.7917,24.25065,Spring,Clear,4.183006535947712,95.81699346405229
40,2011-02-09,1,0,2,0,3,1,2,0.134783,0.144283,0.494783,0.188839,53,1552,1605,0,5.526102999999999,7.21415,49.4783,12.652213,Spring,Mist,3.3021806853582554,96.69781931464175
41,2011-02-10,1,0,2,0,4,1,1,0.144348,0.149548,0.437391,0.221935,47,1491,1538,0,5.918268,7.477399999999999,43.7391,14.869645,Spring,Clear,3.05591677503251,96.94408322496749
