instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,temp_c,atemp_c,hum_pct,windspeed_kmh,season_lbl,weather_lbl,day_segment,is_peak_hour,casual_share,registered_share
1,2011-01-01,1,0,1,0,0,6,0,1,0.24,0.2879,0.81,0.0,3,13,16,9.84,14.395,81.0,0.0,Spring,Clear,Night,0,18.75,81.25
2,2011-01-01,1,0,1,1,0,6,0,1,0.22,0.2727,0.8,0.0,8,32,40,9.02,13.635,80.0,0.0,Spring,Clear,Night,0,20.0,80.0
3,2011-01-01,1,0,1,2,0,6,0,1,0.22,0.2727,0.8,0.0,5,27,32,9.02,13.635,80.0,0.0,Spring,Clear,Night,0,15.625,84.375
4,2011-01-01,1,0,1,3,0,6,0,1,0.24,0.2879,0.75,0.0,3,10,13,9.84,14.395,75.0,0.0,Spring,Clear,Night,0,23.076923076923077,76.92307692307693
5,2011-01-01,1,0,1,4,0,6,0,1,0.24,0.2879,0.75,0.0,0,1,1,9.84,14.395,75.0,0.0,Spring,Clear,Night,0,0.0,100.0
6,2011-01-01,1,0,1,5,0,6,0,2,0.24,0.2576,0.75,0.0896,0,1,1,9.84,12.879999999999999,75.0,6.0032,Spring,Mist,Night,0,0.0,100.0
7,2011-01-01,1,0,1,6,0,6,0,1,0.22,0.2727,0.8,0.0,2,0,2,9.02,13.635,80.0,0.0,Spring,Clear,Morning,0,100.0,0.0
8,2011-01-01,1,0,1,7,0,6,0,1,0.2,0.2576,0.86,0.0,1,2,3,8.200000000000001,12.879999999999999,86.0,0.0,Spring,Clear,Morning,0,33.33333333333333,66.66666666666666
9,2011-01-01,1,0,1,8,0,6,0,1,0.24,0.2879,0.75,0.0,1,7,8,9.84,14.395,75.0,0.0,Spring,Clear,Morning,0,12.5,87.5
10,2011-01-01,1,0,1,9,0,6,0,1,0.32,0.3485,0.76,0.0,8,6,14,13.120000000000001,17.424999999999997,76.0,0.0,Spring,Clear,Morning,0,57.14285714285714,42.857142857142854
11,2011-01-01,1,0,1,10,0,6,0,1,0.38,0.3939,0.76,0.2537,12,24,36,15.58,19.695,76.0,16.997899999999998,Spring,Clear,Morning,0,33.33333333333333,66.66666666666666
12,2011-01-01,1,0,1,11,0,6,0,1,0.36,0.3333,0.81,0.2836,26,30,56,14.76,16.665,81.0,19.0012,Spring,Clear,Morning,0,46.42857142857143,53.57142857142857
13,2011-01-01,1,0,1,12,0,6,0,1,0.42,0.4242,0.77,0.2836,29,55,84,17.22,21.21,77.0,19.0012,Spring,Clear,Afternoon,0,34.523809523809526,65.47619047619048
14,2011-01-01,1,0,1,13,0,6,0,2,0.46,0.4545,0.72,0.2985,47,47,94,18.86,22.725,72.0,19.999499999999998,Spring,Mist,Afternoon,0,50.0,50.0
15,2011-01-01,1,0,1,14,0,6,0,2,0.46,0.4545,0.72,0.2836,35,71,106,18.86,22.725,72.0,19.0012,Spring,Mist,Afternoon,0,33.0188679245283,66.98113207547169
16,2011-01-01,1,0,1,15,0,6,0,2,0.44,0.4394,0.77,0.2985,40,70,110,18.04,21.97,77.0,19.999499999999998,Spring,Mist,Afternoon,0,36.36363636363637,63.63636363636363
